GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ims,com.qa.ims.exceptions,CustomerNotFoundException,3,0,0,0,1,0,1,0,1,0
ims,com.qa.ims.controller,ItemController,0,166,0,2,0,44,0,8,0,7
ims,com.qa.ims.controller,Action,98,0,4,0,19,0,7,0,5,0
ims,com.qa.ims.controller,CustomerController,25,125,0,2,7,33,1,7,1,6
ims,com.qa.ims.controller,OrderItemController,273,88,9,3,66,24,9,8,4,7
ims,com.qa.ims.controller,OrderController,231,163,4,4,58,37,9,12,7,10
ims,com.qa.ims,IMS,274,0,39,0,79,0,29,0,6,0
ims,com.qa.ims,Runner,16,0,0,0,6,0,3,0,3,0
ims,com.qa.ims.persistence.dao,CustomerDAO,52,244,0,4,20,64,0,12,0,10
ims,com.qa.ims.persistence.dao,OrderDAO,219,414,5,15,73,102,8,21,5,14
ims,com.qa.ims.persistence.dao,OrderItemDAO,108,247,3,3,41,61,4,11,2,10
ims,com.qa.ims.persistence.dao,ItemDAO,103,280,1,5,31,74,1,13,0,11
ims,com.qa.ims.utils,DBUtils,22,156,0,4,9,33,1,13,1,11
ims,com.qa.ims.utils,Utils,59,3,4,0,25,1,7,1,5,1
ims,com.qa.ims.persistence.domain,JoinTable,5,238,10,12,2,45,10,21,0,20
ims,com.qa.ims.persistence.domain,Order,10,88,5,5,5,20,6,9,1,9
ims,com.qa.ims.persistence.domain,Domain,88,0,2,0,17,0,6,0,5,0
ims,com.qa.ims.persistence.domain,Item,5,148,6,8,2,32,6,14,0,13
ims,com.qa.ims.persistence.domain,Customer,29,147,15,15,10,38,13,13,0,11
ims,com.qa.ims.persistence.domain,OrderItem,10,216,9,9,5,47,10,18,1,18
